level_0,id,T,formula,database,zT_pred,zT_std,rough_correlation
56793,5910295,700,CdGa2Te4,COD,1.16168,0.307603,223.375
57728,1530788,1000,CeNi5Sn,COD,0.538922,0.316097,223.484
56048,25328,1000,CaGe2Li,ICSD,0.52222,0.269976,224.226
80815,300212,1000,Rb4Sb6Sn,ICSD,0.602694,0.276905,224.782
62403,1525536,700,CsGa7,COD,0.548726,0.322133,224.981
67952,603354,700,FeRh2Se4,ICSD,0.869547,0.319773,225.387
73319,640146,1000,In8Ni7Sm4,ICSD,0.591244,0.321651,225.646
55821,36467,1000,Ca5In2Sb6,ICSD,0.547011,0.259055,225.847
67996,9012125,700,FeSe2,COD,0.816799,0.319639,225.974
68384,250747,700,Ga4GePb4Se12,ICSD,1.23272,0.261686,226.292
