,id,T,formula,database,zT_pred,zT_std
57047,620549,700,CdTe4Tl2,ICSD,1.25805,0.263768
57069,622227,1000,Ce11Sn10,ICSD,0.508658,0.29317
57123,425075,1000,Ce2Ga3Ru2,ICSD,0.542024,0.303474
57124,415108,1000,Ce2Ge2In,ICSD,0.515149,0.290275
57134,621220,1000,Ce2Ge6Li,ICSD,0.671681,0.323439
57146,157331,1000,Ce2In3Ru2,ICSD,0.50888,0.285269
57215,428424,1000,Ce2Te3,ICSD,0.600821,0.265986
57257,621367,1000,Ce3In5,ICSD,0.529015,0.306885
57293,4000204,1000,Ce3Sb5Ti,COD,0.549042,0.283437
57296,1524382,1000,Ce3Sn,COD,0.51606,0.282339
57297,622236,1000,Ce3Sn5,ICSD,0.57152,0.289024
57298,63667,1000,Ce3Sn7,ICSD,0.620071,0.290042
57300,1524611,1000,Ce3Tl,COD,0.537763,0.313361
57305,54578,1000,Ce4Co2Sn5,ICSD,0.540186,0.287809
57360,2208745,1000,Ce5In4Pt2,COD,0.504266,0.327365
57364,4307876,1000,Ce5Li2Sn7,COD,0.656633,0.307673
57381,622219,1000,Ce5Sn3,ICSD,0.512411,0.296854
57382,1527417,1000,Ce5Sn4,COD,0.502446,0.294929
57438,620738,1000,CeCoGe2,ICSD,0.541153,0.317227
57442,657991,1000,CeCoSb2,ICSD,0.567026,0.319725
57448,4002000,1000,CeCrGe3,COD,0.536742,0.310468
57518,621065,700,CeFe4Sb12,ICSD,0.761737,0.109816
57518,621065,1000,CeFe4Sb12,ICSD,0.881017,0.282215
57521,621030,1000,CeFeGe2,ICSD,0.546075,0.311933
57524,657986,1000,CeFeSb2,ICSD,0.582156,0.316203
57529,188330,1000,CeGa2Ni,ICSD,0.545851,0.305582
57553,1528026,1000,CeGe2Ni,COD,0.603875,0.313927
57564,164892,1000,CeGe3V,ICSD,0.540911,0.309287
57611,621366,1000,CeIn2,ICSD,0.542902,0.301947
57613,412515,1000,CeIn2Ni,ICSD,0.52453,0.289165
57728,1530788,1000,CeNi5Sn,COD,0.538922,0.316097
57733,621640,1000,CeNiSb2,ICSD,0.571131,0.315837
57738,621687,1000,CeNiSn2,ICSD,0.594184,0.299491
57821,98658,1000,CeRbTe2,ICSD,0.538781,0.315299
57840,621988,700,CeRu4Sb12,ICSD,0.75515,0.305347
57856,622083,1000,CeSb2,ICSD,0.588925,0.306457
57859,1526918,1000,CeSbTe,COD,0.555496,0.284784
57869,420050,1000,CeSnZn,ICSD,0.502137,0.292832
57871,9008336,700,CeTe2,COD,0.518158,0.326137
59715,622688,1000,Co2Dy3In4,ICSD,0.564922,0.321563
59738,157364,1000,Co2Ga7Mg3,ICSD,0.513719,0.298167
59847,1524263,1000,Co2La3Sn7,COD,0.506127,0.288857
60108,42538,700,Co3Se4,ICSD,0.78576,0.327966
60176,87886,700,Co4Sb12Sn,ICSD,1.24171,0.24258
60176,87886,1000,Co4Sb12Sn,ICSD,1.29282,0.306891
60541,157336,1000,CoGd5Sb2,ICSD,0.505874,0.304775
60542,260930,1000,CoGd6Te2,ICSD,0.509912,0.309308
60551,240095,1000,CoGdSn2,ICSD,0.575819,0.323178
60719,658918,700,CoIn2Se4,ICSD,1.12677,0.316248
60938,657992,1000,CoPrSb2,ICSD,0.551992,0.328445
60949,624816,700,CoRh2Se4,ICSD,0.847765,0.323749
60961,624899,700,CoSb2,ICSD,0.803677,0.280183
60961,624899,1000,CoSb2,ICSD,0.949425,0.323951
60964,9015513,700,CoSb3,COD,0.748396,0.235465
60979,9012536,700,CoSe2,COD,0.840576,0.325349
61307,2001431,700,CrCu2Se4,COD,0.873651,0.321957
61501,83907,1000,CrLaSb3,ICSD,0.547027,0.312636
61626,626577,700,CrRh2Se4,ICSD,0.849286,0.324098
61647,84866,700,CrSbSe3,ICSD,0.908523,0.31074
61819,56387,1000,Cs2In2Sb3,ICSD,0.597311,0.294436
61820,1525490,1000,Cs2In3,COD,0.562947,0.307086
61835,2006421,1000,Cs2Mn3Te4,COD,0.503223,0.31684
61948,658702,1000,Cs2PdSb2,ICSD,0.500683,0.298997
62100,53243,1000,Cs3Sb,ICSD,0.503451,0.30573
62204,412155,1000,Cs5Sb8,ICSD,0.578107,0.277647
62212,300150,1000,Cs6GaK3Sb4,ICSD,0.510139,0.294739
62293,420782,1000,CsCuTe4Y2,ICSD,0.507641,0.30705
62403,1525536,700,CsGa7,COD,0.548726,0.322133
62618,98660,1000,CsNdTe2,ICSD,0.515878,0.328586
62739,2102082,700,Cu10PSe6,COD,0.783827,0.3189
62844,656155,700,Cu2GeHgTe4,ICSD,1.28731,0.300773
62883,627936,700,Cu2HgSe4Sn,ICSD,1.25849,0.329228
62885,656158,700,Cu2HgSnTe4,ICSD,1.28834,0.301873
62940,628282,1000,Cu2LiP,ICSD,0.539663,0.314992
62943,628287,1000,Cu2LiP2Y,ICSD,0.543217,0.328317
63068,9008064,1000,Cu2Se,COD,1.33137,0.301132
63222,57207,1000,Cu3Nd3Sb4,ICSD,0.547712,0.322646
63250,658639,1000,Cu3Pr3Sb4,ICSD,0.563436,0.316577
63260,658640,1000,Cu3Sb4Sm3,ICSD,0.549238,0.322943
63266,400652,1000,Cu3SbSe4,ICSD,1.10244,0.317982
63267,1528745,700,Cu3Se2,COD,0.720237,0.2805
63267,1528745,1000,Cu3Se2,COD,1.11208,0.287158
63270,8101225,700,Cu3Se4V,COD,0.818497,0.324324
63320,53295,700,Cu4In9Se16,ICSD,1.12918,0.310496
63320,53295,1000,Cu4In9Se16,ICSD,1.19811,0.326213
63361,628743,1000,Cu4Pr3Sn4,ICSD,0.537587,0.325567
63470,69593,1000,Cu8GeSe6,ICSD,1.14049,0.309874
63638,9012063,700,CuFeSe2,COD,0.811927,0.32037
63672,627613,1000,CuGdIn,ICSD,0.530763,0.328712
63877,4105347,700,CuInSe2,COD,1.10634,0.32119
63878,628131,1000,CuInSm,ICSD,0.508163,0.326466
64203,628777,700,CuRh2Se4,ICSD,0.920412,0.304836
64203,628777,1000,CuRh2Se4,ICSD,1.11148,0.319469
64238,418754,700,CuSbSe2,ICSD,1.04221,0.308985
64238,418754,1000,CuSbSe2,ICSD,1.17039,0.317834
64244,9000063,700,CuSe,COD,0.827562,0.325134
64244,9000063,1000,CuSe,COD,1.10525,0.311281
64283,629347,700,CuTe3Tl4,ICSD,1.31062,0.313386
64335,107343,1000,Dy2InPd2,ICSD,0.536461,0.32795
64535,629738,1000,DyGa4Ti2,ICSD,0.590994,0.32209
64626,629948,1000,DyMnSn2,ICSD,0.597335,0.300014
65230,4313906,1000,Eu10Mn6Sb13,COD,0.582646,0.299443
65231,417820,1000,Eu11InSb9,ICSD,0.535998,0.30317
65234,4001655,1000,Eu14InSb11,COD,0.536612,0.303247
65235,57272,1000,Eu14MnSb11,ICSD,0.521598,0.310992
65264,8103657,1000,Eu2In,COD,0.506823,0.309989
65398,421139,1000,Eu8In3,ICSD,0.515048,0.327713
65496,1524594,1000,EuIn2,COD,0.609726,0.321451
65497,402571,1000,EuIn2Ni,ICSD,0.590394,0.323888
65511,631348,1000,EuInPd,ICSD,0.507671,0.318161
65659,631585,700,EuRu4Sb12,ICSD,0.773515,0.328422
65683,108434,1000,EuSn,ICSD,0.538909,0.323015
65686,405050,1000,EuSnZn,ICSD,0.504903,0.308432
67076,1524856,1000,Fe2Ga6Sc3,COD,0.51203,0.282545
67424,79927,700,Fe4NdSb12,ICSD,0.781071,0.186106
67443,633160,700,Fe4PrSb12,ICSD,0.758703,0.147088
67443,633160,1000,Fe4PrSb12,ICSD,0.895713,0.298412
67444,658733,700,Fe4Sb12Sr,ICSD,0.793089,0.242175
67596,632049,1000,FeGe2La,ICSD,0.501548,0.282276
67601,632077,1000,FeGe2Nd,ICSD,0.581151,0.328912
67607,632096,1000,FeGe2Pr,ICSD,0.52498,0.32252
67934,424710,700,FePb4Sb6Se14,ICSD,1.24868,0.27446
