formula,database,id,T,rho_pred,seebeck_abs_pred,kappa_pred,zT_pred,rho_var,seebeck_abs_var,kappa_var,zT_var
Cd2Sb2Yb,ICSD,419690,700,2.65183e-05,0.000201244,0.69368,1.00282,1.07706e-09,4.99003e-09,0.12872,0.339735
Cd3Sb3Tl2,ICSD,76500,700,0.00018709,0.000267038,1.04033,1.23967,1043.73,5.81883e-09,3.16836,0.0932045
Cd4GeSe6,COD,8100910,700,5.21771e-05,0.000196747,0.97328,1.01839,0.00307654,4.48857e-09,1.24491,0.412838
Cd6Sb5,ICSD,52832,700,4.08613e-05,0.000174607,0.643179,1.11709,1.53523e-07,6.16564e-09,0.232251,0.0830951
CdCu2GeSe4,ICSD,95235,700,8.95829e-05,0.000187465,0.797806,1.05268,0.0145425,1.43759e-08,1.00627,0.125494
CdCu2Se4Sn,ICSD,619784,700,6.39557e-05,0.000190951,0.965906,1.02304,0.00316436,3.72887e-09,1.68384,0.419477
CdCuSb,ICSD,52796,700,6.82485e-05,0.000198549,0.723067,1.03606,6.07126,4.55177e-09,0.175,0.074606
CdGa2Se4,COD,1526197,700,0.000160842,0.000206079,0.78272,1.07055,0.739884,8.84897e-09,1.92229,0.128076
CdGa2Te4,COD,5910295,700,7.8943e-05,0.000212231,1.34262,1.08968,1.99413,8.3282e-09,7.23219,0.702397
CdGeTe4Tl2,COD,4000657,700,0.000148177,0.000259113,1.22068,1.27761,66.4684,9.21471e-09,9.5075,0.0677663
CdIn2Se4,ICSD,52811,700,0.000106864,0.000204152,0.953161,1.04968,0.589215,8.95031e-09,2.74352,0.143323
CdIn2Te4,COD,5910307,700,7.22261e-05,0.0002085,1.40363,1.13343,0.0586095,1.38268e-08,10.7121,0.697019
CdSb,COD,9008881,700,4.11321e-05,0.000179583,0.639478,1.11899,1.18837e-07,7.30462e-09,0.231499,0.0843224
CdSbTl,COD,7222183,700,0.00029122,0.000273962,0.922169,1.25224,712138,6.70286e-09,3.14103,0.0935248
CdSe2Tl,ICSD,620451,700,0.000183391,0.000254443,0.996436,1.15679,1499.92,1.12141e-08,2.21768,0.215793
CdSnTe4Tl2,COD,4000658,700,0.000185659,0.000266245,1.27086,1.27395,154.528,7.09159e-09,10.3409,0.0784734
CdTe2Tl,ICSD,620548,700,0.000213454,0.000274264,0.974046,1.12791,545.64,7.28869e-09,4.05631,0.967932
Ce3Ir4Sn13,ICSD,603062,700,1.55919e-05,0.000146904,2.38867,1.0546,7.58883e-10,5.23671e-09,1.66852,0.280421
Ce4Pt12Sn25,ICSD,150777,700,3.33965e-05,0.000171323,1.83011,1.08944,6.25156e-05,9.7816e-09,4.92999,0.830189
CeGe12Pt4,ICSD,174553,700,2.89233e-05,0.000151316,1.40064,1.00708,8.69122e-06,9.08568e-09,4.46893,0.735247
CeIn7Pt2,ICSD,161312,700,3.89727e-05,0.000167938,1.16985,1.00435,1.81536e-05,8.72523e-09,4.19674,0.683478
CeTe6Tl9,ICSD,427736,700,4.36634e-05,0.000171735,0.791622,1.13765,1.04075e-06,9.18648e-09,0.733246,0.19333
Co4Sb12Sn,ICSD,87886,700,2.29385e-05,0.000224912,1.97999,1.29453,1.80325e-10,7.08324e-09,0.174408,0.045846
