orig_index,T,formula,database,id,rho_pred,seebeck_pred,kappa_pred,zT_pred,rho_var,seebeck_var,kappa_var,zT_var,rho_std,seebeck_std,kappa_std,zT_std,rough_correlation
81323,700,SV4Zr9,ICSD,81823,1.00235,0.999881,30.0303,1.20424,0.000121756,2.42917e-08,497033,0.0336386,0.0110343,0.000155858,705.006,0.183408,116.613
143050,1000,Cr2O4Sr,COD,2002205,1.00029,1.00026,13.548,1.14721,1.21616e-06,1.23442e-07,1631.76,0.0324367,0.0011028,0.000351343,40.395,0.180102,116.619
63516,700,CuDy2O5Sr,ICSD,172225,1.00025,0.999912,15.9773,1.13948,7.09792e-07,2.40332e-08,16242.4,0.0441793,0.000842492,0.000155027,127.446,0.210189,116.643
6366,700,B4Co11Y3,ICSD,613415,1.00486,1.00001,76.4013,1.19863,0.000338363,3.76013e-08,2.36241e+08,0.0286812,0.0183946,0.000193911,15370.1,0.169355,116.654
60308,700,Co8LaP5,ICSD,30701,18.2061,0.999977,9.09936,1.26831,inf,4.49508e-08,13058.1,0.0620792,inf,0.000212016,114.272,0.249157,116.661
147460,1000,EuLu2O4,ICSD,246728,1.00954,0.999899,33.7023,1.13892,0.000638023,1.91548e-08,701586,0.0135668,0.0252591,0.000138401,837.607,0.116477,116.665
159895,1000,NdNiO2,ICSD,98585,1.00589,0.999937,30.9425,1.15379,0.000392683,3.35808e-08,47939.6,0.0355926,0.0198162,0.000183251,218.951,0.18866,116.675
233,700,Ag2Sr3,COD,1509721,1.22365,1.00008,79.6987,1.26124,0.647434,3.14689e-08,9.75224e+18,0.0623216,0.804633,0.000177395,3.12286e+09,0.249643,116.677
65601,700,EuO3Ti,ICSD,187104,1.01287,0.999874,12.8464,1.09753,0.000816565,1.88926e-08,8691.1,0.0128927,0.0285756,0.00013745,93.226,0.113546,116.678
67968,700,FeS6Ta3,ICSD,633323,1.00026,1.00001,21.5121,1.15353,1.14103e-06,4.78288e-08,134563,0.0533362,0.00106819,0.000218698,366.828,0.230946,116.715
76313,700,Mn4Nb2O9,COD,1008931,1.00038,0.999883,91.9612,1.05246,1.47151e-06,2.50339e-08,3.32905e+06,0.0123684,0.00121306,0.000158221,1824.57,0.111213,116.717
2746,700,AlLa,ICSD,54470,1.01242,1.00011,32.0622,1.18357,0.000764777,4.2959e-08,273628,0.0369913,0.0276546,0.000207266,523.095,0.192331,116.718
161105,1000,O4SrTb2,COD,2002288,1.00025,0.999889,9.037,1.1177,6.78149e-07,6.80206e-09,392.988,0.0173153,0.000823498,8.24746e-05,19.8239,0.131587,116.731
4756,700,Au2Nd4O9,COD,7209410,1.00156,0.999861,259.121,1.07768,2.64e-05,2.05834e-08,4.48436e+13,0.00424525,0.00513809,0.000143469,6.69654e+06,0.0651556,116.743
6289,700,B3Ni4,COD,1510943,1.19806,0.999952,136.332,1.16621,0.505442,5.23743e-08,2.44595e+10,0.0462451,0.710944,0.000228854,156395,0.215047,116.746
67858,700,FeO,COD,1011198,1.14968,1.00036,191.438,1.04279,0.286393,1.51362e-07,1.70503e+08,0.00768469,0.535157,0.000389052,13057.7,0.0876624,116.747
