,id,T,formula,database,zT_pred,zT_std
270,97427,1000,Bi2CdCs2S5,ICSD,1.8157212,0.17685471
271,1524515,1000,PdTl2,COD,1.8156618,0.17333879
272,411861,1000,As4Br6Hg6Sn,ICSD,1.8155227,0.15625852
273,7209370,1000,AgI5Tl3,COD,1.8153332,0.16021186
274,2010577,700,BiISe,COD,1.8141168,0.2032946
275,245518,1000,Bi12Br2Rh3,ICSD,1.8140433,0.14452516
276,418556,1000,Bi20I36Pt3,ICSD,1.8137527,0.13609976
277,1523185,1000,Hg3Tl,COD,1.8136833,0.15346162
278,9008909,1000,PdTe,COD,1.8133407,0.19151817
279,81996,1000,CsCu2TaTe4,ICSD,1.8118881,0.16232729
280,250266,1000,Br5KPb2,ICSD,1.8115706000000005,0.17563999
281,25120,1000,I2Pd,ICSD,1.8114471,0.15744756
282,411136,1000,Bi9I3Rh2,ICSD,1.8111893,0.13057245
283,411218,1000,BiBr7Hg6Sb4,ICSD,1.8110209,0.12774456
284,36296,1000,Pb,ICSD,1.8105191000000005,0.19935992
285,1509558,1000,AgTe2Tl,COD,1.8098851,0.12685221
286,165321,1000,AuK3P2Se8,ICSD,1.8098056,0.1424632
287,603271,1000,CsS2Yb,ICSD,1.8097233,0.15903588
288,9011022,1000,AgBiSe2,COD,1.8090949,0.16331932
289,78874,1000,Br6Pb2Pd,ICSD,1.8088269,0.1634826
290,261015,1000,GeSe4Tl4,ICSD,1.8087522,0.16787559
291,391381,1000,AuSbTl,ICSD,1.8079909,0.15974307
292,2219453,1000,Cs2Hg6S7,COD,1.8067492,0.21185565
293,656152,1000,Cu2HgSiTe4,ICSD,1.8067204,0.12959653
294,1510105,1000,AuCsSe3,COD,1.8059217,0.1629014
295,648427,1000,Pb2Rh3Se2,ICSD,1.8041463,0.13538665
296,85598,1000,Cs2Hg3S8Sn2,ICSD,1.8040718,0.13428152
297,408684,1000,AuGeKS3,ICSD,1.8037622,0.13245654
298,159465,1000,Bi2BrInSe4,ICSD,1.8033046,0.16407488
299,1510581,1000,Au6Rb4S5,COD,1.8020828,0.18240708
300,27402,1000,Br2Hg3Te2,ICSD,1.8010898999999998,0.16892478
301,73666,1000,SnTe5Tl2,ICSD,1.8009708,0.13394088
302,4304502,1000,Au3KSn3,COD,1.8008586,0.1732991
303,1527696,700,Bi3In5,COD,1.8007915,0.15866852
304,21039,1000,Br6Pb4Se,ICSD,1.8007258000000002,0.14500320000000005
305,2101560,1000,Bi2Rh,COD,1.8006425,0.13991034
306,4339089,1000,Au4In6K,COD,1.7993206999999998,0.16318431
307,22138,1000,BrIPb,ICSD,1.7979583,0.1481415
308,423016,1000,Bi3IIn2Se7,ICSD,1.797921,0.13598707
309,391336,1000,Bi3Ni,ICSD,1.7976921,0.13569736
310,174577,1000,PbSe2,ICSD,1.7962075000000002,0.1429704
311,413675,1000,CsCu3Er2Se5,ICSD,1.7956582,0.13514385
312,78787,1000,Pt2Te3Tl,ICSD,1.7955699,0.12790504
313,406636,1000,Bi7Br8Rh,ICSD,1.7953882,0.14934856
314,26267,1000,Pt3Rb2S4,ICSD,1.7953753,0.1532551
