id,formula,database,T,zT_pred
2227872,C7H13N3O6,COD,1000,0.4556206
4026270,C37H48O4,COD,1000,0.45561808
151023,C3H9BrN2S2,ICSD,1000,0.4556166
1504361,C12H14Fe,COD,1000,0.45560944
27195,CsNO3Os,ICSD,700,0.4556081
4070676,C12H12Co,COD,1000,0.455599
2208965,C15H30Cl2N6NiO11,COD,700,0.45559865
4074487,C11H21Al,COD,1000,0.4555936
641296,K2PdS2,ICSD,1000,0.45559353
2223004,C11H8F3N3O2,COD,700,0.45559266
9011214,AsO4Sb,COD,1000,0.4555882
7011916,C13H27Li2N3,COD,1000,0.45558044
2001351,C34H57O20S2,COD,1000,0.4555774
2000170,B4H12Na2O13,COD,1000,0.45557305
7051610,C5H5N3,COD,1000,0.4555717
2003186,C7H13N3O3,COD,1000,0.45554352
262789,FeH10N3O14,ICSD,700,0.45553774
2004126,C17H22F6OPS8,COD,700,0.4555355
7050967,C10H15N3O3,COD,1000,0.45553228
2225487,C9H11N2O2,COD,1000,0.45552832
2011225,C33H46O6,COD,1000,0.45552415
59158,As4CuH10O16,ICSD,1000,0.45552376
2234930,C3Cl5,COD,700,0.45552143
1516069,C21H38O4,COD,1000,0.45552135
69691,F35Sb7Se8,ICSD,1000,0.45551142
40090,C4H4CuNa2O10,ICSD,1000,0.45550933
4342461,C47Cl7,COD,700,0.45548707
4315337,C33H60B2P2,COD,1000,0.45548046
616395,Be5Pt,ICSD,700,0.4554735
4303396,C8H26B11N,COD,1000,0.45546746
152143,CCr2PrSi2,ICSD,1000,0.45546705
4115265,C13H16,COD,1000,0.455455
2207036,C13H15O5,COD,1000,0.4554545
262182,C12H28N12O18U,ICSD,700,0.45545182
7051495,C5H5Cl2N,COD,1000,0.4554512
2224248,C10H26Br6N4O4Sn,COD,1000,0.45544803
4025691,C6H12O4S,COD,1000,0.45541862
4025471,C29H32N6,COD,1000,0.45540422
2204819,C8H6BrN5OS,COD,700,0.45538023
2226283,C27H45Cl,COD,1000,0.4553779
27331,LaO2Rb,ICSD,1000,0.45535922
2210305,C23H34ClCoN4O4,COD,700,0.45535207
2205138,C26H30Br2CuN2O2,COD,700,0.45534736
4301457,C5H9N11,COD,700,0.45534593
391256,CCl2Eu2N2,ICSD,700,0.45533475
2103610,C10H12N3O6,COD,1000,0.45533255
2106497,H3NO4,COD,700,0.45533207
2222245,C2H2KO9STb,COD,1000,0.45532954
613744,B4ErFe,ICSD,700,0.45532596
2003559,C8H6KO5,COD,1000,0.45531934
1510577,Au3Ba4Si20,COD,700,0.45531902
2007987,C5H12I2N2Pt,COD,700,0.45531663
178,CuK2N6O12Sr,ICSD,700,0.45531178
7003211,C2H3CsO,COD,700,0.45530203
2204160,C8H6N2O7,COD,700,0.45530146
2200225,C9H19O,COD,1000,0.45529795
2221402,C12H12FeN10O2,COD,1000,0.4552979
4027532,C17H18O8,COD,1000,0.45529372
47133,Ba4O12Ru3Zr,ICSD,1000,0.45529056
2201222,C13H14N4S,COD,1000,0.45525455
79096,Ca5P6Pd6,ICSD,1000,0.45525345
