,id,T,formula,database,zT_pred,zT_std
65579,657510,700,EuNb5Se8,ICSD,0.109816276,0.07436324
56341,9004058,1000,CaO8V2,COD,0.1098075,0.06245862
66934,2039,700,FO3PSn,ICSD,0.109805785,0.061411828
67875,4122825,1000,FeO3Sc,COD,0.10980476,0.07569857
46294,158983,700,C4H4CoN2O10V4,ICSD,0.10979727,0.055396903
75908,4311325,700,Mg2Sr,COD,0.10978679,0.101488516
66330,8101512,700,F5OSn2,COD,0.109773636,0.04613535
8727,156305,1000,Ba4Mn3NdO12,ICSD,0.10976592,0.05327858
4474,262832,700,AsNdORu,ICSD,0.10976104,0.10537189
3280,9000987,1000,As2Cu3O8,COD,0.109758526,0.06110719
72854,93862,700,I4O20Tl2U3,ICSD,0.10974601,0.06854692
75056,1532652,700,LaO3Ti,COD,0.10973651,0.051470123
66581,78850,700,F6O2Ru,ICSD,0.10973057,0.052890673
63413,9000547,1000,Cu5O12P2,COD,0.10972944,0.06326194
1736,415701,1000,Al3La5Ni2,ICSD,0.10972352,0.10709874
3680,4303068,1000,As3LaMn3Na3O15,COD,0.109722614,0.04640117
67882,1526633,700,FeO3Tl,COD,0.109718256,0.053195592
78008,2106693,700,NdO9P3,COD,0.109715454,0.06450899
71074,4336945,700,H2O7Ti3,COD,0.10970709,0.07833933
81070,650648,700,Ru2Si2Tm,ICSD,0.109703645,0.08771755
75336,50420,700,Li3O12P3Sc2,ICSD,0.10970048,0.06109434
67488,150214,1000,Fe5SnU,ICSD,0.10969951,0.1292552
3028,4300606,700,AmI3O9,COD,0.10968845,0.052558903
78831,9015931,700,O16P3Zn2,COD,0.10967536,0.045719534
61342,78778,700,CrF4,ICSD,0.10966246,0.06958646
55657,96482,1000,Ca3CuO6Rh,ICSD,0.109660394,0.03901735
2281,2002453,700,AlBa5Ir2O11,COD,0.10965725,0.03187254
8089,81168,1000,Ba2Cu3O7Pr,ICSD,0.10965619,0.08322633
43142,660402,700,C3Al3Sc,ICSD,0.10965095,0.06593439
63835,172226,700,CuHo2O5Sr,ICSD,0.10964972,0.056343812
2082,606871,1000,Al8Cr4Yb,ICSD,0.109642096,0.10297495
76266,92836,700,Mn3Na4O15P4,ICSD,0.10963091,0.05047504
69497,250160,1000,Ge2La3O14SbZn3,ICSD,0.109630495,0.06281427
8466,2002738,1000,Ba3CeO9Ru2,COD,0.109619826,0.093014345
56065,9008361,1000,CaGeMn,COD,0.10959904,0.098091066
66375,4045,700,F6GaLiMn,ICSD,0.1095948,0.065799125
81069,603984,700,Ru2Si2Th,ICSD,0.10959357,0.05971185
9023,1521063,700,BaCeO3,COD,0.10958938,0.064994715
1635,415931,700,Al3Ba3Ga2,ICSD,0.109586075,0.07416667
60111,625098,700,Co3Si5Tm2,ICSD,0.10957511,0.058813475
7717,2208746,700,BLaO3,COD,0.109571844,0.076845296
65250,8218,1000,Eu2GeO5,ICSD,0.10956363,0.06541614
11195,248919,1000,Br2O11Te4Zr2,ICSD,0.10955262,0.060693525
1197,58203,1000,Al23V4,ICSD,0.10954625,0.08105024
65321,420637,1000,Eu3F4S2,ICSD,0.109536625,0.16677354
65082,33242,700,ErLiO12P4,ICSD,0.109531075,0.0626664
77973,659935,700,NdNi2P2,ICSD,0.10952872,0.041183434
5747,420557,700,B2CrO12Pb6,ICSD,0.10950636,0.0937928
55199,42928,700,CInTi3,ICSD,0.109498,0.13485493
75927,187996,1000,Mg3Ni2Ti,ICSD,0.109485924,0.06085332
2137,608494,700,Al8Mn4Pr,ICSD,0.109484196,0.050034136
77790,61434,1000,NbO6SmSr2,ICSD,0.109460205,0.05527676
72453,4102592,700,Ho3O3Sb,COD,0.1094584,0.11442782
4705,1510414,700,Au2GdSi2,COD,0.109451815,0.11703294
57501,9011160,700,CeF3,COD,0.10944481,0.06826329
44775,7103451,700,C44H24N8Zn,COD,0.109427564,0.21853232
27177,7200832,700,C19H17Sn,COD,0.10942322,0.33406693
39991,2013734,700,C31H22F3LaN2O7,COD,0.10942115,0.19676709
69209,82006,1000,GdNaO4Ti,ICSD,0.10942024,0.07319325
73236,412856,700,In4O21P6,ICSD,0.10941904,0.049769104
58763,48189,700,Cl5In2Pr,ICSD,0.109414026,0.040435325
54749,42922,700,CGe3Mo5,ICSD,0.109411776,0.082309425
47486,87349,1000,C5Al3Zr2,ICSD,0.10937816,0.051012896
79429,108965,700,O7Pt2Sb2,ICSD,0.109361984,0.11263929
3206,9007893,1000,As2CdO6,COD,0.10934519,0.04574403
74476,641241,700,KMo6S8,ICSD,0.10932168,0.0645728
852,78719,1000,AgLaO4Ti,ICSD,0.10931842,0.06813927
59576,9009190,1000,ClOY,COD,0.109314874,0.06747718
55601,2002530,700,Ca2O4Pb,COD,0.10929779,0.059145987
67857,633013,1000,FeNp6,ICSD,0.10928789,0.1981889
69224,88040,1000,GdNiO3,ICSD,0.10927513,0.058716543
209,4317662,700,Ag2O8Se2U,COD,0.10926752,0.05621822
6612,54759,700,B4O12Sr3Y2,ICSD,0.109261304,0.06732648
7824,2018876,700,BO3Sc,COD,0.10923652,0.065072544
69128,4000500,1000,GdH2NaO9S2,COD,0.10923386,0.111137286
71250,250551,700,H4I3O11Sm,ICSD,0.10921217,0.13417691
8202,33618,700,Ba2GdO6Sb,ICSD,0.10921155,0.052105695
7203,248089,700,B8Bi2O15,ICSD,0.10921076,0.0839998
75468,604519,700,LiMo3Se3,ICSD,0.10920051,0.066830665
70312,637228,700,GeNbNi,ICSD,0.10919945,0.08128972
57349,1524292,1000,Ce5Ga3,COD,0.1091951,0.23014277
66950,418710,700,FO6STc,ICSD,0.10916428,0.065913975
76794,603466,700,Mo6S8Tm,ICSD,0.10916012,0.05560178
57277,1526166,1000,Ce3Pd5Si,COD,0.10915065,0.12375965
