id,T,formula,database,zT_pred,zT_std,mp_id,source
82312,1000,As2Br3Hg4,ICSD,1.8658767,0.16990554,mp-29078,greedy
236383,1000,Bi3Co,ICSD,1.865709,0.14835492,mp-1105522,both
616947,1000,Bi3Pd8,ICSD,1.8653703,0.13911873,mp-1198800,greedy
80588,1000,Hg4I3Sb2,ICSD,1.8653058,0.15180385,mp-29043,greedy
1527851,1000,GaTe2Tl,COD,1.8622937,0.12589945,mp-3785,both
420622,1000,Cd2KSb3Yb2,ICSD,1.8615717,0.14415868,mp-1203408,both
413681,1000,CsCu3Se5Tm2,ICSD,1.861495,0.15692386,mp-581749,greedy
405639,1000,Bi12I3Ni4,ICSD,1.8613641,0.16545203,mp-541751,both
1524520,1000,Pb2Pd,COD,1.8603324,0.19666587,mp-20599,greedy
418003,1000,Br4Pd4Te3,ICSD,1.860201,0.171393,mp-638749,greedy
42549,1000,BiPtTe,ICSD,1.8600295,0.16615728,mp-29638,greedy
153603,1000,Br3CsHg,ICSD,1.8560004,0.17727652,mp-1194175,greedy
1510273,1000,AuPb3,COD,1.8554202,0.19053984,mp-30412,greedy
165229,1000,Cd3K16Na9Tl18,ICSD,1.8553694,0.203303,mp-1197369,greedy
1509539,1000,AgSeTl,COD,1.8550537,0.13804685,mp-29238,both
648514,1000,PbSe,ICSD,1.8542181,0.16621001,mp-1079172,greedy
4340717,1000,Bi4Pb7Se13,COD,1.8542095,0.15829931,mp-1190436,greedy
411135,1000,Bi9Br3Rh2,ICSD,1.8531934,0.15397835,mp-680173,greedy
629124,1000,Cu2Se2Tl,ICSD,1.8528533,0.15041071,mp-5000,greedy
1527926,1000,Bi2Ge3Te6,COD,1.8525717,0.15734817,mp-540687,greedy
1530529,1000,Br5CsHg2,COD,1.852078,0.18035229,mp-619510,greedy
69439,1000,Pt2RbSe3,ICSD,1.8505173,0.15435939,mp-14797,greedy
639142,1000,HgPd5Se,ICSD,1.8501025,0.17195433,mp-1077944,greedy
391191,1000,Bi37Br48In,ICSD,1.8484702,0.17299025,mp-680466,greedy
28743,1000,CuSe2Tl,ICSD,1.848133,0.13129999,mp-14090,both
1521988,1000,TeTl,COD,1.8474753,0.13943738,,both
74022,1000,Au2K2S4Sn,ICSD,1.8474128,0.14421858,mp-557121,greedy
9008952,1000,SeTl,COD,1.8472879,0.14758216,mp-1836,both
77882,1000,PbTe,ICSD,1.8469065,0.17313448,mp-20943,greedy
165359,1000,CsCuPSe3,ICSD,1.8438911,0.18862209,mp-1201069,greedy
1510579,1000,Au6Hg5,COD,1.8438716,0.23099278,mp-1812,greedy
185808,1000,HgPt2Se3,ICSD,1.8421854,0.16219164,mp-1102023,greedy
58840,1000,Bi2Pd5,ICSD,1.8421751,0.14418219,mp-30464,both
93370,1000,Bi2CsCuS4,ICSD,1.8417772,0.16494587,mp-558907,greedy
2595,1000,GePtSe,ICSD,1.8408291,0.14564812,mp-20817,both
1510184,1000,AuITe2,COD,1.8407124,0.15680991,mp-27527,greedy
4312033,1000,CsDyTe3Zn,COD,1.8401756,0.20414284,mp-510462,greedy
65806,1000,Hg3I2Te2,ICSD,1.8394345,0.1735637,mp-28579,greedy
411153,1000,Hg3I2Se2,ICSD,1.8389148,0.1563993,mp-29955,greedy
4030182,1000,Cu14Se10Tl5,COD,1.8384006,0.12310518,mp-28656,greedy
69562,1000,SnTe3Tl2,ICSD,1.8380193,0.13623595,mp-28662,both
9003557,1000,AgAuTe2,COD,1.8378508,0.15359832,mp-31495,greedy
78788,1000,NaPt2Se3,ICSD,1.8366573,0.14778782,mp-28987,greedy
91298,1000,Bi5Cu2Rb3S10,ICSD,1.834803,0.18940496,mp-555113,greedy
237340,1000,Br5Hg6Se4Tl,ICSD,1.8341076,0.16515493,mp-1202157,greedy
85682,1000,Au5KP2S8,ICSD,1.8339466,0.13757963,mp-561218,both
406949,1000,Bi4I2Ru,ICSD,1.8336916,0.13672325,mp-541771,greedy
408442,1000,BiGa2Se4,ICSD,1.8334328,0.14008223,mp-571085,both
80804,1000,Se4SnTl3,ICSD,1.8317589,0.13698858,mp-733717,greedy
157861,1000,Hg,ICSD,1.8312025,0.20138097,mp-569360,greedy
39931,1000,As10Br18Hg19,ICSD,1.830233,0.14248541,mp-504876,both
58839,1000,BiPd3,ICSD,1.8295404,0.15295969,mp-30463,greedy
7209420,1000,Au4KSn2,COD,1.8284422,0.1479467,mp-30402,greedy
190987,1000,Au2Ga2In,ICSD,1.8281757,0.13985956,mp-1080559,both
152384,1000,InK5Pb8,ICSD,1.8280993000000003,0.19484027,mp-571021,greedy
54316,1000,Pb2Pt,ICSD,1.8273246,0.15264536,mp-21318,greedy
50987,1000,IPdTe,ICSD,1.8268483,0.17315865,mp-29748,greedy
1510079,1000,AuCdSb,COD,1.8256748,0.15859465,mp-16246,greedy
1523087,1000,PbPo,COD,1.8247296,0.2132814,,greedy
2206809,1000,AuI3Rb,COD,1.824697,0.19453505,mp-568666,greedy
1527853,1000,InTe2Tl,COD,1.8246521,0.14134145,mp-22791,greedy
