# List of unique stable 3D crystal structures from the COD (free) and ICSD (not free) databases.
# Created by Nicola Marzari’s group involving some cleaning to remove implausible materials.
formula,database,id
AgBiP2Se6,ICSD,170640
AgBiS2,COD,9011024
AgBiSe2,COD,9011022
AgBiSr,COD,1509243
AgBiTe2,COD,9001316
AgBiYb,ICSD,604874
AgBr,ICSD,31109
AgBr13Mo6,COD,1509155
AgBr14W6,COD,1509156
AgBr2Cs,ICSD,150302
AgBr2H28N9O12S8,ICSD,418293
AgBr2H36N9O12S8,COD,2201015
AgBr3Cs2,ICSD,150288
AgBr3Rb2,ICSD,150287
AgBr5Pb2,COD,8103387
AgBr7W3,COD,1509768
AgBrH3N,COD,7103195
AgBrHgS,ICSD,411773
AgCa,COD,1509163
AgCa10O28P7,ICSD,188661
AgCa2Si3,COD,1509769
AgCaGe,ICSD,421236
AgCaP,COD,7209300
AgCaSb,COD,1509165
AgCd,COD,9008796
AgCd2Ce,COD,1509177
AgCd2GaS4,COD,2205826
AgCd3F20Hf3,ICSD,78893
AgCd3F20Zr3,ICSD,78892
AgCdO4V,COD,2002678
AgCdSb,COD,1509176
AgCe,COD,1509183
AgCe3GeS7,ICSD,604947
AgCe3S7Si,ICSD,604959
AgCe3Se7Si,ICSD,418054
AgCe5Pb3,ICSD,604956
AgCe5Sn3,ICSD,604968
AgCeCu5,ICSD,657086
AgCeGe,COD,1509188
AgCeMg,ICSD,657933
AgCeMg2,COD,1509189
AgCeO12P4,ICSD,425082
AgCePb,ICSD,107100
AgCeSb2,COD,1509191
AgCeSi2,ICSD,247421
AgCeSn,ICSD,55819
AgCl,COD,9011680
AgCl2Cs,ICSD,150300
AgCl3Cs,COD,1509779
AgCl3Cs2,COD,2310063
AgCl3Rb2,COD,2008760
AgClH10N8O6S8,ICSD,36416
AgClH2O5,ICSD,402119
AgClO3,COD,8103389
AgClO4,COD,1010574
AgClO4Pb4,ICSD,68309
AgCo3H2O12P3,COD,2012415
AgCoN3O9,ICSD,250468
AgCoO2,ICSD,246157
AgCoO4P,COD,1007137
AgCr2H4O10Sc,ICSD,156676
AgCr2KO7,ICSD,62783
AgCr2Te4,COD,1509274
AgCr4O14Tl3,ICSD,421926
AgCrO2,COD,1509265
AgCrP2S6,COD,1000192
AgCrS2,COD,1509267
AgCrSe2,COD,9012117
AgCrTe2,ICSD,605002
AgCs2F4,COD,1509284
AgCs2F6K,ICSD,16783
AgCs2I3,COD,2310064
AgCs2NbS4,ICSD,84293
AgCs2NbSe4,ICSD,50464
AgCs2S4Sb,ICSD,55367
AgCs2S4Ta,ICSD,84296
AgCs2S4V,ICSD,50460
AgCs3Mn4O16,ICSD,424701
AgCs5O9Si3,ICSD,51508
AgCs5Se27Ti6,COD,4319305
AgCsF3,COD,1509275
AgCsF6Fe,ICSD,155160
AgCsGa2Se4,ICSD,423447
AgCsN2O6,COD,2008257
AgCsNpS3,COD,4303821
AgCsO,COD,1509282
AgCsPSe3,ICSD,165361
AgCsS3U,COD,4305436
AgCsS7Sb4,ICSD,414420
AgCsSe3U,COD,4305437
AgCsSe4,COD,1509283
AgCu3KMo4O16,COD,2002675
AgCu4Dy,ICSD,605006
AgCu4Er,ICSD,605007
AgCu4Gd,ICSD,605020
AgCu4Ho,ICSD,605023
AgCu4Nd,ICSD,605036
AgCu4Sm,ICSD,605047
AgCu4Tb,ICSD,605048
