# Outliers,Original Index,Temperature (K),Electrical Resistivity (Ohm m),Seebeck Coefficient (V/K),Thermal Conductivity (W/(m K)),Figure of Merit,Thermopower (V/K),Thermal Conductivity x Figure of Merit (W/m K),Power Factor (W/(K^2 m)),Formula,Series,Series Index,Family,Electrical Conductivity (S/m),Preparative Route,Final Form,Authors,DOI,Comments,Cell Volume (A^3),Formula Units per Cell,Atoms per Formula Unit,Total Atoms Per Unit Cell,Average Atomic Volume,Author of Unit Cell,Unit Cell DOI,ICSD ID,Electronic over Total Thermal Conductivity,Space Group,Number of Symmetry Elements
outliers,orig_index,T,rho,seebeck,kappa,zT,seebeck_abs,kappa_zT,power_factor,formula,series,x,family,sigma,preparative_route,final_form,authors,doi,comments,cell_volume,formula_units_per_cell,atoms_per_formula_unit,total_atoms_per_unit_cell,average_atomic_volume,author_of_unit_cell,unit_cell_doi,icsd_id,kel/ktot,space_group,symmetry_elements
,43,400,0.00009823584835,-0.000114152,2.16005,0.02456366903,0.000114152,0.05305875329,0.0001326468832,Ca0.96Bi0.04Mn0.96Nb0.04O3,Ca1-xBixMn1-yNbyO3,0.04,CaMnO3,10179.58329,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.04599557088,62,8
,44,700,0.0001250201455,-0.000164082,1.8785,0.0802469847,0.000164082,0.1507439608,0.0002153485154,Ca0.96Bi0.04Mn0.96Nb0.04O3,Ca1-xBixMn1-yNbyO3,0.04,CaMnO3,7998.710896,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.07272716641,62,8
,45,1000,0.0001454554506,-0.000172301,1.6869,0.1209918892,0.000172301,0.2041012178,0.0002041012178,Ca0.9Bi0.1Mn0.9Nb0.1O3,Ca1-xBixMn1-yNbyO3,0.1,CaMnO3,6874.957219,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,"Extrapolated from 972 K, x=y",206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.09944214603,62,8
,46,300,0.00007325377328,-0.0000722292,,,0.0000722292,0.02136568711,0.00007121895704,Ca0.9Bi0.1Mn0.9Nb0.1O3,Ca1-xBixMn1-yNbyO3,0.1,CaMnO3,13651.17393,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,"Extrapolated from 325 K, x=y",206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,,62,8
,47,400,0.00007257716503,-0.0000724358,,,0.0000724358,0.02891788413,0.00007229471032,Ca0.9Bi0.1Mn0.9Nb0.1O3,Ca1-xBixMn1-yNbyO3,0.1,CaMnO3,13778.43843,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,,62,8
,48,700,0.00007633259027,-0.0000806522,,,0.0000806522,0.05965137747,0.00008521625352,Ca0.9Bi0.1Mn0.9Nb0.1O3,Ca1-xBixMn1-yNbyO3,0.1,CaMnO3,13100.56421,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,,62,8
,49,1000,0.00008303286055,-0.0000926656,,,0.0000926656,0.1034158448,0.0001034158448,Ca0.9Bi0.1Mn0.9Nb0.1O3,Ca1-xBixMn1-yNbyO3,0.1,CaMnO3,12043.42466,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,"Extrapolated from 972 K, x=y",206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,,62,8
,50,300,0.0002,-0.00018,2.5,0.01944,0.00018,0.0486,0.000162,CaMn0.98Nb0.02O3,CaMn1-xNbxO3,0.02,CaMnO3,5000,Ultrasonic Spray Pyrolysis,polycrystalline,Populoh2011JMR,http://dx.doi.org/10.1557/jmr.2011.140,<200 nm crystal size,208.21,4,5,20,10.4105,Bocher,http://dx.doi.org/10.1016/j.actamat.2009.07.062,166044,0.01464,62,8
,51,400,0.000215409,-0.000203876,2.07513,0.03719487009,0.000203876,0.07718419077,0.0001929604769,CaMn0.98Nb0.02O3,CaMn1-xNbxO3,0.02,CaMnO3,4642.331565,Ultrasonic Spray Pyrolysis,polycrystalline,Populoh2011JMR,http://dx.doi.org/10.1557/jmr.2011.140,<200 nm crystal size,208.21,4,5,20,10.4105,Bocher,http://dx.doi.org/10.1016/j.actamat.2009.07.062,166044,0.02183436993,62,8
,52,700,0.00028358,-0.000234574,1.63069,0.08329343661,0.000234574,0.1358257741,0.0001940368202,CaMn0.98Nb0.02O3,CaMn1-xNbxO3,0.02,CaMnO3,3526.341773,Ultrasonic Spray Pyrolysis,polycrystalline,Populoh2011JMR,http://dx.doi.org/10.1557/jmr.2011.140,<200 nm crystal size,208.21,4,5,20,10.4105,Bocher,http://dx.doi.org/10.1016/j.actamat.2009.07.062,166044,0.03693523446,62,8
