material_id,formula,icsd_ids
mp-8515,BaSm2PdO5,[62610]
mp-8306,Ba3FeN3,[36502]
mp-672368,UVN2,[644843]
mp-672373,La3Co4Sn13,"[190476, 190477, 600229, 172793]"
mp-7439,K3Cu3P2,[12163]
mp-9353,Dy5Ni2Sb,[81765]
mp-760483,Li2PdO3,[]
mp-973524,HoVB4,"[658656, 614513]"
mp-9473,Ba(NiP)2,[85408]
mp-8456,SrAsPt,[59187]
mp-8458,BaAsPt,[59192]
mp-9488,SmOF,[81948]
mp-9497,Pr2C(NO)2,[82264]
mp-9499,Sm2C(NO)2,[82266]
mp-9498,Nd2C(NO)2,[82265]
mp-8470,NaPrO2,[61682]
mp-8481,LiPrGe,[59177]
mp-9821,RbSbF6,[408071]
mp-9546,Yb2C3,[86293]
mp-9549,ScFeGe,"[86364, 632114]"
mp-9550,ScMnSi,[86369]
mp-9556,SrZnSi,[86388]
mp-766,As2Ru,"[42578, 611294, 611289, 994]"
mp-7660,BaRhF6,[6038]
mp-9562,LiBeAs,"[100004, 609869]"
mp-6954,SrAgAs,[49742]
mp-9564,Ca(MgAs)2,[100041]
mp-9565,Ca(MgSb)2,[100045]
mp-9566,Sr(MgSb)2,[100046]
mp-9573,NaBeAs,[100091]
mp-9581,Th(CuP)2,[100270]
mp-6956,La(FeP)2,[632411]
mp-9583,K2ZnF4,[100298]
mp-9586,NbSnS2,[100389]
mp-983061,Sr(AsO3)2,[420297]
mp-778,Fe2P,"[200529, 246858, 246856, 633048, 42402, 633060, 633061, 603609, 70113, 169787, 85561, 633058, 70115, 44345]"
mp-764314,LiMnF6,[]
mp-9619,Th(FeP3)4,[200827]
mp-962,SmZn2,"[106067, 652709]"
mp-7476,RbDyO2,[15159]
mp-7477,RbErO2,[15161]
mp-7478,RbTmO2,[15162]
mp-7480,RbLuO2,[15164]
mp-7489,CsUF6,[15343]
mp-674149,Ru4Pb4O13,[]
mp-985,TmCu,"[629415, 629417, 103138]"
mp-7943,LiAs,[26472]
mp-768144,Na2SbPCO7,[]
mp-7020,LiYO2,[45511]
mp-765064,Li2VCrP2(O4F)2,[]
mp-6903,Na2Ca4ZrNbSi4O17F,"[34070, 100158]"
mp-8207,Zn(PtO2)3,[35339]
mp-9723,Sr4Li(BN2)3,[402173]
mp-12058,Er(PRu)2,[602113]
mp-14037,NaTl2RhF6,[27340]
mp-570466,Li2Ca,"[106349, 619390, 619389]"
mp-27315,CaTiF6,[9911]
mp-974729,Nd(Al2Cu)4,[607039]
mp-21471,LiFeAs,"[290700, 168206, 610480, 169175, 162250, 162056, 166457, 163870]"
mp-23279,KBi2,"[55068, 58794]"
mp-1102319,Lu2Pt,[642523]
mp-11489,Li3Pd,[104775]
mp-861958,Ti2MnBe,[]
mp-865664,TiRe2W,[]
mp-28944,BiTeCl,[79362]
mp-29513,CsXeF7,[404986]
